scope,emissions_category,emissions_source,sub_activity,activity,sub_bu,last_bu,bu,value
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Outside Services,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Outside Services,Corporate,PG&S,Corp. PG&S,Corporate Operations,476.24981
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Outside Services,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Outside Services,Corporate,PG&S,Corp. PG&S,Corporate Operations,572.585805
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Outside Services,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Outside Services,Corporate,PG&S,Corp. PG&S,Corporate Operations,307.438403
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Outside Services,Corporate,PG&S,Corp. PG&S,Corporate Operations,40.9917871
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Outside Services,Corporate,PG&S,Corp. PG&S,Corporate Operations,793.81555
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Outside Services,Corporate,PG&S,Corp. PG&S,Corporate Operations,105.842073
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Outside Services,Corporate,PG&S,Corp. PG&S,Corporate Operations,601.448614
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Outside Services,Corporate,PG&S,Corp. PG&S,Corporate Operations,80.1931485
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Outside Services,Corporate,PG&S,Corp. PG&S,Corporate Operations,645.84709
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Outside Services,Corporate,PG&S,Corp. PG&S,Corporate Operations,91.9718958
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Outside Services,Corporate,PG&S,Corp. PG&S,Corporate Operations,1231.31605
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Outside Services,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Outside Services,Corporate,PG&S,Corp. PG&S,Corporate Operations,21.371212
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Outside Services,Corporate,PG&S,Corp. PG&S,Corporate Operations,2.84949493
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Office and Employee Expenses,Corporate,PG&S,Corp. PG&S,Corporate Operations,2679.27028
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Office and Employee Expenses,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Admin & Misc.,Corporate,PG&S,Corp. PG&S,Corporate Operations,1041.75495
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Admin & Misc.,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 2,Purchased Grid Electricity,Electric - DVD,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,104.214625
Scope 2,Purchased Grid Electricity,Electric - DVD,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,104.226758
Scope 3,Purchased Goods and Services,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,1031.58972
Scope 3,Transportation and Distribution,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,0
Scope 2,Purchased Grid Electricity,Electric - Billboards,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,2.80685657
Scope 2,Purchased Grid Electricity,Electric - Billboards,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,4.3435
Scope 3,Upstream Losses,Electric - Billboards,Other,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.88536217
Scope 3,Upstream Losses,Electric - Billboards,Other,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.05459691
Scope 2,Purchased Grid Electricity,Electricity - Corporate,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,444.821828
Scope 2,Purchased Grid Electricity,Electricity - Corporate,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,445.589789
Scope 1,Stationary,Natural Gas - Corporate,Natural Gas Use,Fuel Use,Facilities,Corp. Facilities,Corporate Operations,136.739469
Scope 3,Upstream Losses,Electricity - Corporate,Other,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,117.069186
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Admin & Misc.,Corporate,PG&S,Corp. PG&S,Corporate Operations,209.95
Scope 2,Purchased Grid Electricity,Electric - DVD,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,208.074652
Scope 2,Purchased Grid Electricity,Electric - DVD,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,209.610707
Scope 2,Purchased Grid Electricity,Electric - Billboards,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,1.40342829
Scope 2,Purchased Grid Electricity,Electric - Billboards,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,2.80685657
Scope 2,Purchased Grid Electricity,Electric - Billboards,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,4.3435
Scope 3,Upstream Losses,Electric - Billboards,Other,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.88536217
Scope 3,Upstream Losses,Electric - Billboards,Other,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.05459691
Scope 3,Upstream Losses,Electric - Billboards,Other,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.55335136
Scope 3,Upstream Losses,Electric - Billboards,Other,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.03412307
Scope 2,Purchased Grid Electricity,Electric - Billboards,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,2.17175
Scope 2,Purchased Grid Electricity,Electric - Billboards,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,1.75428536
Scope 2,Purchased Grid Electricity,Electric - Billboards,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,2.7146875
Scope 2,Purchased Grid Electricity,Electric - Billboards,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,1.75428536
Scope 3,Upstream Losses,Electric - Billboards,Other,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.44268108
Scope 2,Purchased Grid Electricity,Electric - Billboards,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.35085707
Scope 2,Purchased Grid Electricity,Electric - Billboards,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.5429375
Scope 3,Upstream Losses,Electric - Billboards,Other,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.11067027
Scope 3,Upstream Losses,Electric - Billboards,Other,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.00682461
Scope 2,Purchased Grid Electricity,Electric - Billboards,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,1.75428536
Scope 2,Purchased Grid Electricity,Electric - Billboards,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,2.7146875
Scope 3,Upstream Losses,Electric - Billboards,Other,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.02729845
Scope 2,Purchased Grid Electricity,Electric - Billboards,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,2.7146875
Scope 3,Upstream Losses,Electric - Billboards,Other,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.55335136
Scope 3,Upstream Losses,Electric - Billboards,Other,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.55335136
Scope 3,Upstream Losses,Electric - Billboards,Other,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.03412307
Scope 3,Upstream Losses,Electric - Billboards,Other,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.03412307
Scope 2,Purchased Grid Electricity,Electric - Billboards,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,1.40342829
Scope 3,Upstream Losses,Electric - Billboards,Other,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.02729845
Scope 2,Purchased Grid Electricity,Electric - Billboards,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,2.17175
Scope 2,Purchased Grid Electricity,Electric - Billboards,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.35085707
Scope 2,Purchased Grid Electricity,Electric - Billboards,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,2.80685657
Scope 3,Upstream Losses,Electric - Billboards,Other,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.44268108
Scope 2,Purchased Grid Electricity,Electric - Billboards,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.5429375
Scope 2,Purchased Grid Electricity,Electric - Billboards,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,2.80685657
Scope 2,Purchased Grid Electricity,Electric - DVD,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,144.377258
Scope 2,Purchased Grid Electricity,Electric - DVD,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,144.483351
Scope 2,Purchased Grid Electricity,Electric - Billboards,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,4.3435
Scope 3,Upstream Losses,Electric - Billboards,Other,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.11067027
Scope 2,Purchased Grid Electricity,Electric - Billboards,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,4.3435
Scope 3,Upstream Losses,Electric - Billboards,Other,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.88536217
Scope 3,Upstream Losses,Electric - Billboards,Other,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.05459691
Scope 3,Upstream Losses,Electric - Billboards,Other,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.88536217
Scope 3,Upstream Losses,Electric - Billboards,Other,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.00682461
Scope 2,Purchased Grid Electricity,Electric - Billboards,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,2.80685657
Scope 2,Purchased Grid Electricity,Electric - Billboards,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,4.3435
Scope 3,Upstream Losses,Electric - Billboards,Other,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.88536217
Scope 3,Upstream Losses,Electric - Billboards,Other,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.05459691
Scope 3,Upstream Losses,Electric - Billboards,Other,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,0.05459691
Scope 2,Purchased Grid Electricity,Electric - SelfChargeBck,Electricity Use,Electricity Use,Production (Self Mng),Self Mng. (S1&2),Production,0
Scope 2,Purchased Grid Electricity,Electric - SelfChargeBck,Electricity Use,Electricity Use,Production (Self Mng),Self Mng. (S1&2),Production,0
Scope 2,Purchased Grid Electricity,Electric - SelfChargeBck,Electricity Use,Electricity Use,Production (Self Mng),Self Mng. (S1&2),Production,0
Scope 2,Downstream Leased Assets,Electric - SelfChargeBck,Electricity Use,Electricity Use,Production (Self Mng),Self Mng. (S1&2),Production,0
Scope 2,Purchased Grid Electricity,Electric - Studios,Electricity Use,Electricity Use,Production (Self Mng),Self Mng. (S1&2),Production,0
Scope 2,Purchased Grid Electricity,Electric - Studios,Electricity Use,Electricity Use,Production (Self Mng),Self Mng. (S1&2),Production,0
Scope 2,Purchased Grid Electricity,Electric - Studios,Electricity Use,Electricity Use,Production (Self Mng),Self Mng. (S1&2),Production,0
Scope 2,Purchased Grid Electricity,Electric - Studios,Electricity Use,Electricity Use,Production (Self Mng),Self Mng. (S1&2),Production,0
Scope 2,Purchased Grid Electricity,Sublease,Electricity Use: (Tenants of sample co),Electricity Use,Production (Self Mng),Self Mng. (S1&2),Production,0
Scope 3,Downstream Leased Assets,Sublease,Electricity Use: (Tenants of sample co),Electricity Use,Production (Self Mng),Other Scope 3,Production,0
Scope 3,Upstream Losses,Electric - SelfMng,Other,Electricity Use,Production (Self Mng),Self Mng. (S1&2),Production,0
Scope 3,Upstream Losses,Electric - SelfMng,Other,Electricity Use,Production (Self Mng),Self Mng. (S1&2),Production,0
Scope 3,Upstream Losses,Electric - Studios,Other,Electricity Use,Production (Self Mng),Self Mng. (S1&2),Production,0
Scope 3,Upstream Losses,Electric - Studios,Other,Electricity Use,Production (Self Mng),Self Mng. (S1&2),Production,0
Scope 3,Upstream Losses,Sublease,Other,Electricity Use,Production (Self Mng),Other Scope 3,Production,0
Scope 3,Upstream Losses,Sublease,Other,Electricity Use,Production (Self Mng),Other Scope 3,Production,0
Scope 1,Fugitive,Refrigerant,Refrigerant Leakage,Refrigerant Leakage,Facilities,Corp. Facilities,Corporate Operations,89.5227174
Scope 3,Downstream Leased Assets,Sublease,Electricity Use: (Tenants of sample co),Electricity Use,Production (Self Mng),Other Scope 3,Production,0
Scope 3,Downstream Leased Assets,Sublease,Electricity Use: (Tenants of sample co),Electricity Use,Production (Self Mng),Other Scope 3,Production,0
Scope 2,Purchased Grid Electricity,Electric - SelfChargeBck,Electricity Use,Electricity Use,Production (Self Mng),Self Mng. (S1&2),Production,0
Scope 2,Purchased Grid Electricity,Electric - SelfChargeBck,Electricity Use,Electricity Use,Production (Self Mng),Self Mng. (S1&2),Production,0
Scope 2,Purchased Grid Electricity,Electric - SelfChargeBck,Electricity Use,Electricity Use,Production (Self Mng),Self Mng. (S1&2),Production,0
Scope 2,Downstream Leased Assets,Electric - SelfChargeBck,Electricity Use,Electricity Use,Production (Self Mng),Self Mng. (S1&2),Production,0
Scope 2,Purchased Grid Electricity,Electric - Studios,Electricity Use,Electricity Use,Production (Self Mng),Self Mng. (S1&2),Production,0
Scope 2,Purchased Grid Electricity,Electric - Studios,Electricity Use,Electricity Use,Production (Self Mng),Self Mng. (S1&2),Production,0
Scope 2,Purchased Grid Electricity,Electric - Studios,Electricity Use,Electricity Use,Production (Self Mng),Self Mng. (S1&2),Production,0
Scope 2,Purchased Grid Electricity,Electric - Studios,Electricity Use,Electricity Use,Production (Self Mng),Self Mng. (S1&2),Production,0
Scope 2,Purchased Grid Electricity,Sublease,Electricity Use: (Tenants of sample co),Electricity Use,Production (Self Mng),Self Mng. (S1&2),Production,0
Scope 3,Downstream Leased Assets,Sublease,Electricity Use: (Tenants of sample co),Electricity Use,Production (Self Mng),Other Scope 3,Production,1403.01017
Scope 3,Upstream Losses,Electric - SelfMng,Other,Electricity Use,Production (Self Mng),Self Mng. (S1&2),Production,0
Scope 3,Upstream Losses,Electric - SelfMng,Other,Electricity Use,Production (Self Mng),Self Mng. (S1&2),Production,0
Scope 3,Upstream Losses,Electric - Studios,Other,Electricity Use,Production (Self Mng),Self Mng. (S1&2),Production,0
Scope 3,Upstream Losses,Electric - Studios,Other,Electricity Use,Production (Self Mng),Self Mng. (S1&2),Production,0
Scope 3,Upstream Losses,Sublease,Other,Electricity Use,Production (Self Mng),Other Scope 3,Production,214.7756
Scope 3,Upstream Losses,Sublease,Other,Electricity Use,Production (Self Mng),Other Scope 3,Production,13.2443914
Scope 1,Fugitive,Refrigerant,Refrigerant Leakage,Refrigerant Leakage,Facilities,Corp. Facilities,Corporate Operations,207.053827
Scope 3,Downstream Leased Assets,Sublease,Electricity Use: (Tenants of sample co),Electricity Use,Production (Self Mng),Other Scope 3,Production,1403.80192
Scope 3,Downstream Leased Assets,Sublease,Electricity Use: (Tenants of sample co),Electricity Use,Production (Self Mng),Other Scope 3,Production,0
Scope 3,Business Travel,Air Travel - Corporate,Air Travel: Corporate,Air Travel,Transportation,Corp. Transportation,Corporate Operations,24.790921
Scope 3,Business Travel,Air Travel - Corporate,Air Travel: Corporate,Air Travel,Transportation,Corp. Transportation,Corporate Operations,33.2109952
Scope 3,Business Travel,Air Travel - Corporate,Air Travel: Corporate,Air Travel,Transportation,Corp. Transportation,Corporate Operations,149.304162
Scope 3,Business Travel,Air Travel - Corporate,Air Travel: Corporate,Air Travel,Transportation,Corp. Transportation,Corporate Operations,951.234507
Scope 3,Business Travel,Air Travel - Corporate,Air Travel: Corporate,Air Travel,Transportation,Corp. Transportation,Corporate Operations,577.131418
Scope 3,Business Travel,Air Travel - Corporate,Air Travel: Corporate,Air Travel,Transportation,Corp. Transportation,Corporate Operations,768.148238
Scope 3,Business Travel,Air Travel - Corporate,Air Travel: Corporate,Air Travel,Transportation,Corp. Transportation,Corporate Operations,1407.69168
Scope 3,Business Travel,Air Travel - Corporate,Air Travel: Corporate,Air Travel,Transportation,Corp. Transportation,Corporate Operations,1956.73057
Scope 3,Business Travel,Air Travel - Corporate,Air Travel: Corporate,Air Travel,Transportation,Corp. Transportation,Corporate Operations,7978.08926
Scope 3,Business Travel,Air Travel - Employee,Air Travel: Corporate,Air Travel,Transportation,Corp. Transportation,Corporate Operations,106248.808
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,129.414453
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,387.999068
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,390.411613
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,410.012635
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,453.356048
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,579.00641
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,582.440926
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,587.972866
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,643.913839
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,644.3764
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,657.98003
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,677.030316
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,26.2371606
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,78.661955
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,79.1510683
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,83.1249303
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,91.9122647
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,117.386303
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,118.082608
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,119.20414
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,130.545472
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,130.63925
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,133.397216
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,137.259423
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,2.56576811
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,3.91731357
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,4.33650949
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,5.69528246
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,9.07631435
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,9.68487118
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,10.7400885
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,13.73228
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,26.3948877
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,52.4717648
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,55.7241469
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,70.7501523
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,0.52017737
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,0.7941863
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,0.87917303
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,1.15464724
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,1.84010914
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,1.96348642
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,2.17741853
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,2.78404791
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,5.35123315
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,10.6379936
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,11.2973734
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,14.3437079
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,30.9337677
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,64.3248907
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,67.649548
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,88.0311426
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,140.647458
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,145.778994
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,213.500817
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,275.874278
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,295.244021
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,332.538002
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,449.912859
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,6.27143424
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,13.0410665
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,13.7150992
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,17.8472124
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,28.5145118
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,29.5548665
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,43.2846186
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,55.9300573
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,59.8570301
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,67.4179181
Scope 3,Upstream Losses,Jet Fuel - Corporate,Other,Air Travel,Transportation,Corp. Transportation,Corporate Operations,91.2142013
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,94.840908
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,99.6067319
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,106.88484
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,112.046732
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,114.814871
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,173.026729
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,180.547681
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,204.709267
Scope 1,Mobile,Jet Fuel - Corporate,Air Travel: Corporate Jet,Air Travel,Transportation,Corp. Transportation,Corporate Operations,205.520194
